fighter,lore,cluster,fighting_style
MAXIMO BLANCO,"Hailing from a small town, MAXIMO BLANCO grew up competing in underground circuits before making it to the big stage. MAXIMO BLANCO brings a high-volume striking attack to every fight, throwing over 10.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MAYCEE BARBER,"From humble origins, MAYCEE BARBER earned every opportunity on their journey to the UFC. In the octagon, MAYCEE BARBER is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 13.8 significant strikes per minute with deadly accuracy.",1,
MAYRA BUENO SILVA,"With roots in their homeland, MAYRA BUENO SILVA defied expectations to become a force in the octagon. As a versatile fighter, MAYRA BUENO SILVA maintains constant pressure with over 10.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
MEGAN ANDERSON,"With roots in their homeland, MEGAN ANDERSON defied expectations to become a force in the octagon. MEGAN ANDERSON brings a versatile fighter approach to the octagon, adapting their game plan based on the opponent and situation.",7,
MELISSA GATTO,"From humble origins, MELISSA GATTO earned every opportunity on their journey to the UFC. MELISSA GATTO brings a high-volume striking attack to every fight, throwing over 21.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MELVIN GUILLARD,"Hailing from a small town, MELVIN GUILLARD grew up competing in underground circuits before making it to the big stage. MELVIN GUILLARD brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MERAB DVALISHVILI,"Hailing from a small town, MERAB DVALISHVILI grew up competing in underground circuits before making it to the big stage. MERAB DVALISHVILI brings a high-volume striking attack to every fight, throwing over 14.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MICHAEL BISPING,"Born in the tough streets of their homeland, MICHAEL BISPING discovered fighting as an escape from adversity. MICHAEL BISPING brings a high-volume striking attack to every fight, throwing over 16.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MICHAEL CHANDLER,"From humble origins, MICHAEL CHANDLER earned every opportunity on their journey to the UFC. In the octagon, MICHAEL CHANDLER is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 47.8 significant strikes per minute with deadly accuracy.",6,
MICHAEL CHIESA,"Hailing from a small town, MICHAEL CHIESA grew up competing in underground circuits before making it to the big stage. MICHAEL CHIESA brings a high-volume striking attack to every fight, throwing over 5.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MICHAEL JOHNSON,"From humble origins, MICHAEL JOHNSON earned every opportunity on their journey to the UFC. MICHAEL JOHNSON brings a high-volume striking attack to every fight, throwing over 14.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MICHAEL MCDONALD,"Born in the tough streets of their homeland, MICHAEL MCDONALD discovered fighting as an escape from adversity. MICHAEL MCDONALD brings a high-volume striking attack to every fight, throwing over 7.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MICHAEL MORALES,"Born in the tough streets of their homeland, MICHAEL MORALES discovered fighting as an escape from adversity. In the octagon, MICHAEL MORALES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 23.4 significant strikes per minute with deadly accuracy.",9,
MICHAEL TRIZANO,"Born in the tough streets of their homeland, MICHAEL TRIZANO discovered fighting as an escape from adversity. As a versatile fighter, MICHAEL TRIZANO maintains constant pressure with over 13.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
MICHAL OLEKSIEJCZUK,"With roots in their homeland, MICHAL OLEKSIEJCZUK defied expectations to become a force in the octagon. In the octagon, MICHAL OLEKSIEJCZUK is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.0 significant strikes per minute with deadly accuracy.",4,
MICHEL PEREIRA,"Hailing from a small town, MICHEL PEREIRA grew up competing in underground circuits before making it to the big stage. MICHEL PEREIRA fights as a versatile fighter with a devastating body attack, systematically breaking down opponents with over 12.4 strikes per minute, targeting the body with surgical precision.",7,
MICHEL PRAZERES,"Born in the tough streets of their homeland, MICHEL PRAZERES discovered fighting as an escape from adversity. MICHEL PRAZERES brings a high-volume striking attack to every fight, throwing over 8.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MICHELLE WATERSON-GOMEZ,"Hailing from a small town, MICHELLE WATERSON-GOMEZ grew up competing in underground circuits before making it to the big stage. As a versatile fighter, MICHELLE WATERSON-GOMEZ maintains constant pressure with over 12.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
MICHIHIRO OMIGAWA,"From humble origins, MICHIHIRO OMIGAWA earned every opportunity on their journey to the UFC. MICHIHIRO OMIGAWA brings a high-volume striking attack to every fight, throwing over 6.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MICHINORI TANAKA,"With roots in their homeland, MICHINORI TANAKA defied expectations to become a force in the octagon. MICHINORI TANAKA brings a high-volume striking attack to every fight, throwing over 5.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MICKEY GALL,"Hailing from a small town, MICKEY GALL grew up competing in underground circuits before making it to the big stage. MICKEY GALL brings a high-volume striking attack to every fight, throwing over 6.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MIESHA TATE,"Hailing from a small town, MIESHA TATE grew up competing in underground circuits before making it to the big stage. MIESHA TATE brings a high-volume striking attack to every fight, throwing over 14.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MIGUEL BAEZA,"From humble origins, MIGUEL BAEZA earned every opportunity on their journey to the UFC. As a versatile fighter, MIGUEL BAEZA maintains constant pressure with over 29.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
MIKE BROWN,"Hailing from a small town, MIKE BROWN grew up competing in underground circuits before making it to the big stage. As a versatile fighter, MIKE BROWN maintains constant pressure with over 7.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
MIKE DAVIS,"Hailing from a small town, MIKE DAVIS grew up competing in underground circuits before making it to the big stage. MIKE DAVIS brings a high-volume striking attack to every fight, throwing over 13.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MIKE DE LA TORRE,"Born in the tough streets of their homeland, MIKE DE LA TORRE discovered fighting as an escape from adversity. MIKE DE LA TORRE brings a high-volume striking attack to every fight, throwing over 5.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MIKE EASTON,"Born in the tough streets of their homeland, MIKE EASTON discovered fighting as an escape from adversity. MIKE EASTON brings a high-volume striking attack to every fight, throwing over 10.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MIKE MASSENZIO,"Born in the tough streets of their homeland, MIKE MASSENZIO discovered fighting as an escape from adversity. MIKE MASSENZIO brings a high-volume striking attack to every fight, throwing over 4.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MIKE PERRY,"With roots in their homeland, MIKE PERRY defied expectations to become a force in the octagon. MIKE PERRY brings a high-volume striking attack to every fight, throwing over 11.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MIKE PIERCE,"From humble origins, MIKE PIERCE earned every opportunity on their journey to the UFC. MIKE PIERCE brings a high-volume striking attack to every fight, throwing over 10.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MIKE PYLE,"With roots in their homeland, MIKE PYLE defied expectations to become a force in the octagon. MIKE PYLE brings a high-volume striking attack to every fight, throwing over 5.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MIKE RODRIGUEZ,"Hailing from a small town, MIKE RODRIGUEZ grew up competing in underground circuits before making it to the big stage. As a versatile fighter, MIKE RODRIGUEZ maintains constant pressure with over 11.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
